,location,price,bedrooms,bathrooms,floors,lands,type
336,"Sangkat Pir, Sihanoukville, Sihanoukville","$72,800",1,1.0,40,,Condo
337,"Trapeang Thum, Prasat Bakong, Siem Reap",$70/m²,,,,,Land
338,"Tuek L'ak 2, Toul Kork, Phnom Penh","$130,000",2,2.0,,,Condo
339,"Kep, Kep, Kep",$220/m²,,,,,Land
340,"Tuol Sangke, Russey Keo, Phnom Penh","$850,000",7,6.0,,,Villa
341,"Kep, Kep, Kep",$220/m²,,,,2684.0,Villa
342,"313 313, Boeung Kak 2, Toul Kork, Phnom Penh","$380,000",,,,60.0,House
343,"Chaom Chau, Por Sen Chey, Phnom Penh",$59/m²,,,,2636.0,Land
344,Royal Park Condo,"$49,999",1,1.0,,,Condo
345," Kakab 1, Por Sen Chey, Phnom Penh","$150,000",2,2.0,108,,Condo
346,"Achar Leak, Stueng Saen, Kampong Thom","$78,000",3,4.0,,,House
347,Urban Village Phase 1,"$110,000",2,1.0,,,Condo
348,"Chreav, Siem Reap, Siem Reap","$60,000",1,1.0,,,House
349," Street 20A, Tien, Dangkao, Phnom Penh",POA,,,,,Borey
350,"Kampong Svay, Kien Svay, Kandal","$145,000",,,,,Land
351,"Sangkat Pir, Sihanoukville, Sihanoukville","$82,300",1,1.0,40,,Condo
352,"Preaek Tonloab, Leuk Daek, Kandal","$16,000",,,,,Land
353,"Phsar Chas, Daun Penh, Phnom Penh","$1,100,000",4,5.0,,,Apartment
354,"Sangkat Buon, Sihanoukville, Sihanoukville","$580,000",14,,,,Apartment
355,"Preaek Aeng, Chbar Ampov, Phnom Penh",$580/m²,,,,1513.0,Land
356,"Chaom Chau, Por Sen Chey, Phnom Penh",$700/m²,,,,4193.0,Land
357," Khmuonh, Sen Sok, Phnom Penh","$295,000",4,7.0,269,91.0,Shophouse
358,CASA by Meridian,"$175,080",1,1.0,77,,Condo
359,"Chaom Chau, Por Sen Chey, Phnom Penh","$560,000",28,28.0,,,House
360,"Ou Baek K'am, Sen Sok, Phnom Penh","$178,000",,,,,Condo
361,"Boeung Prolit, 7 Makara, Phnom Penh","$90,000",,,,,Condo
362,"Preaek Lieb, Chroy Changvar, Phnom Penh","$260,000",5,6.0,,,House
363,"BKK 1, Chamkarmon, Phnom Penh","$255,000",,,,,Condo
364,"Kandaek, Prasat Bakong, Siem Reap","$50,000",,,,,Land
365,"Boeung Tumpun 2, Meanchey, Phnom Penh","$210,000",4,4.0,,,House
366,"Preaek Aeng, Chbar Ampov, Phnom Penh",$538/m²,,,,,Land
367,"Svay Dankum, Siem Reap, Siem Reap","$198,000",3,3.0,,,Villa
368,"Veal Vong, 7 Makara, Phnom Penh","$185,000",,,,,Condo
369,"Chreav, Siem Reap, Siem Reap","$37,000",,,,,House
370,"Sala Kamraeuk, Siem Reap, Siem Reap","$350,000",,,,,House
371,"Sangkat Sambuor, Siem Reap, Siem Reap","$150,000",2,3.0,,,House
372,"Samrong, Prey Nob, Sihanoukville","$250,000",,,,,Land
373,"Sala Kamraeuk, Siem Reap, Siem Reap","$450,000",6,10.0,,,House
374,"Sala Kamraeuk, Siem Reap, Siem Reap","$1,900,000",11,11.0,,,Villa
375,"Cheung Aek, Dangkao, Phnom Penh","$335,000",4,5.0,,,Twin
376,"Barong, Lvea Aem, Kandal","$125,000",,,,,Land
377,"Chrang Chamres I, Russey Keo, Phnom Penh","$355,000",4,5.0,,,House
378,CASA by Meridian,"$250,000",2,2.0,,,Condo
379," Kouk Chak, Siem Reap, Siem Reap","$180,000",4,5.0,,,House
380,"Chroy Changvar, Chroy Changvar, Phnom Penh","$126,263",,,,,Condo
381,"Russey Keo, Russey Keo, Phnom Penh","$195,000",4,5.0,,,House
382,"Kampong Samnanh, Ta Khmau, Kandal",$450/m²,,,,,Land
383,"Nirouth, Chbar Ampov, Phnom Penh","$930,000",,,,,House
384,"Preaek Pra, Chbar Ampov, Phnom Penh","$30,000",,,,84.0,Land
385,"Veal Vong, 7 Makara, Phnom Penh","$295,000",2,1.0,136,,Condo
386,"Veal Vong, 7 Makara, Phnom Penh","$120,000",1,1.0,46,,Condo
387,"Svay Dankum, Siem Reap, Siem Reap",$850/m²,,,,3500.0,Land
388,"Ovlaok, Por Sen Chey, Phnom Penh",$210/m²,,,,2381.0,Land
389,"Krang Dei Vay, Phnum Sruoch, Kampong Speu","$600,000",,,,,Land
390,"Preaek Anhchanh, Mukh Kampul, Kandal","$125,000",,,,,House
391,"Ta Khmao, Ta Khmau, Kandal","$65,000",,,,,Land
392,"Bak Kaeng, Chroy Changvar, Phnom Penh",$650/m²,,,,,Land
393,"Ou Baek K'am, Sen Sok, Phnom Penh","$160,000",2,2.0,,,Condo
394,"Akphivoadth, Tuek Phos, Kampong Chhnang",$19/m²,,,,,Apartment
395,"Chaom Chau 2, Por Sen Chey, Phnom Penh","$85,000",,,,,House
396,"Trapeang Thum, Prasat Bakong, Siem Reap","$860,000",,,,,Land
397,"Chaom Chau, Por Sen Chey, Phnom Penh","$55,000",,,,,Land
398,"Chroy Changvar, Chroy Changvar, Phnom Penh","$1,300/m²",,,,,Villa
399,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$9,873,600",,,,8228.0,Land
400,"Boeung Tumpun, Meanchey, Phnom Penh","$550,000",3,3.0,,,House
401,"Cheung Aek, Dangkao, Phnom Penh","$1,200/m²",,,,1400.0,Land
402,"Tuol Prech, Angk Snuol, Kandal","$9,999",,,,,Land
403,Royal Park Condo,"$53,000",,,,,Condo
404,"Bak Kaeng, Chroy Changvar, Phnom Penh","$250,000",3,3.0,,,Villa
405,"Ta Kdol, Ta Khmau, Kandal","$120,000",,,,,House
406,"Kandaek, Prasat Bakong, Siem Reap",$175/m²,,,,,Land
407,"Kandaek, Prasat Bakong, Siem Reap",$122/m²,,,,,Land
408,"Banteay Chhmar, Thma Puok, Banteay Meanchey",$13/m²,,,,,Land
409,"Banteay Chhmar, Thma Puok, Banteay Meanchey",$6/m²,,,,94726.0,Land
410,"Svay Rumpear, Kampong Leaeng, Kampong Chhnang",$25/m²,,,,,Land
411,"Wat Phnom, Daun Penh, Phnom Penh","$800,000",5,6.0,,,House
412,"Khmuonh, Sen Sok, Phnom Penh","$262,000",4,5.0,,,House
413,"Chak Angrae Kraom, Meanchey, Phnom Penh","$190,000",5,4.0,,,House
414,"Svay Chrum, Khsach Kandal, Kandal","$58,000",3,,,,House
415,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$250,000",,,,,House
416,"Chaom Chau, Por Sen Chey, Phnom Penh","$55,000",2,2.0,,,House
417,"Preaek Anhchanh, Mukh Kampul, Kandal","$55,000",2,3.0,,,House
418,"Dangkao, Dangkao, Phnom Penh","$78,000",4,6.0,,,House
419,"Preaek Ta Sek, Chroy Changvar, Phnom Penh","$255,000",4,5.0,,,Twin
420,"Phsar Thmei II, Daun Penh, Phnom Penh","$495,000",,,,,House
421,"Veang Chas, Odongk, Kampong Speu",$65/m²,,,,314200.0,Land
422,"Kampong Trach Khang Lech, Kampong Trach, Kampot",$30/m²,,,,,Land
423,"Nirouth, Chbar Ampov, Phnom Penh","$147,000",4,5.0,,,House
424,"Kamboul, Por Sen Chey, Phnom Penh","$76,500",4,5.0,,,House
425,"Por Sen Chey, Phnom Penh","$85,000",2,3.0,,,House
426,"Boeung Salang, Toul Kork, Phnom Penh","$290,000",6,6.0,,,House
427,"Boeung Salang, Toul Kork, Phnom Penh","$165,000",2,2.0,,,House
428,"Sla Kram, Siem Reap, Siem Reap","$1,800,000",8,10.0,,,Shophouse
429,"Kouk Chak, Siem Reap, Siem Reap","$985,000",30,,360,621.0,House
430," Svay Dankum, Siem Reap, Siem Reap","$63,960",,,,492.0,Land
431," Svay Dankum, Siem Reap, Siem Reap","$210,000",3,,,,House
432," Svay Dankum, Siem Reap, Siem Reap","$249,000",3,3.0,,800.0,House
433," Kandaek, Prasat Bakong, Siem Reap","$31,482",,,,594.0,Land
434," Sla Kram, Siem Reap, Siem Reap",$100/m²,,,,2108.0,Land
435," Chreav, Siem Reap, Siem Reap",$120/m²,,,,,Land
436,"Kamboul, Por Sen Chey, Phnom Penh","$99,800",4,4.0,,,House
437,"Chhveang, Ponhea Lueu, Kandal","$26,000",,,,200.0,Land
438,"Preaek Kampues, Dangkao, Phnom Penh",$550/m²,,,,9000.0,Land
439,"Chbar Ampov, Phnom Penh","$60,000",1,1.0,,,Condo
440,"Ream, Prey Nob, Sihanoukville","$500,000",,,1000,1000.0,Land
441,"Kien Sangkae, Sout Nikom, Siem Reap",$13/m²,,,9114,9114.0,Land
442,"Ponsang, Prek Pnov, Phnom Penh",$160/m²,,,1400,1400.0,Land
443,"Krang Thnong, Sen Sok, Phnom Penh","$180,000",,,196,196.0,Land
444,"Chaom Chau, Por Sen Chey, Phnom Penh","$200,000",34,34.0,280,,House
445,"Dangkao, Dangkao, Phnom Penh","$70,000",3,3.0,74,100.0,House
446,"Kampong Luong, Ponhea Lueu, Kandal","$80,000",,,,192.0,Land
447,"Kampong Luong, Ponhea Lueu, Kandal","$120,000",,,,378.0,Land
448,"Amleang, Thpong, Kampong Speu","$130,000",,,,23800.0,Land
449,"Amleang, Thpong, Kampong Speu",$25/m²,,,,4625.0,Land
450,"Chakto Mukh, Daun Penh, Phnom Penh","$200,000",2,3.0,140,,House
451,"Boeung Kak 2, Toul Kork, Phnom Penh","$186,000",1,2.0,55,,Shophouse
452,"Veal Vong, 7 Makara, Phnom Penh","$165,000",2,1.0,,,Condo
453,"Mkak, Angk Snuol, Kandal","$20,000",,,,200.0,Land
454,"Stueng Mean chey, Meanchey, Phnom Penh","$249,000",4,5.0,80,96.0,House
455,"Mean Chey, Odongk, Kampong Speu","$18,000",,,,,Land
456,"Ruessei Chrouy, Mukh Kampul, Kandal","$540,000",,,,,Land
457,"Takaen, Chhuk, Kampot",$4/m²,,,,,Land
458,"Chan Saen, Odongk, Kampong Speu","$12,000",,,,,Land
459,"Vihear Suork, Khsach Kandal, Kandal","$15,000",,,,,Land
460,"Tuek L'ak 3, Toul Kork, Phnom Penh","$285,000",,,,,House
461,"Phnom Penh, Phnom Penh","$56,000",4,5.0,,,House
462,Royal Park Condo,"$73,000",1,1.0,,,Condo
463,"Boeung Kak 2, Toul Kork, Phnom Penh",POA,1,1.0,,,CondoPOA
464,Royal Park Condo,"$70,000",1,1.0,,,Condo
465,"Koun Satv, Tuek Chhou, Kampot",$19/m²,,,,60000.0,Land
466,"Koh Dach, Chroy Changvar, Phnom Penh","$170,000",,,,,Land
467," Chrang Chamres I, Russey Keo, Phnom Penh","$210,000",4,5.0,69,118.0,Villa
468,"Preah Srae, Odongk, Kampong Speu",$50/m²,,,,116622.0,Land
469,"Stueng Mean chey, Meanchey, Phnom Penh","$88,000",,,259,259.0,Land
470,"Kantaok, Por Sen Chey, Phnom Penh","$60,000",,,,190.0,Land
471,"Boeung Tumpun, Meanchey, Phnom Penh","$480,000",1,2.0,,235.0,House
472,"Preaek Kampues, Dangkao, Phnom Penh","$115,000",4,5.0,50,,House
473,"Ou Baek K'am, Sen Sok, Phnom Penh","$670,000",6,4.0,135,210.0,House
474,"Nirouth, Chbar Ampov, Phnom Penh","$380,000",4,5.0,73,184.0,Twin
475,"Andoung Khmer, Kampot, Kampot","$29,000",,,,105.0,Land
476,"Boeung Kak 2, Toul Kork, Phnom Penh","$140,000",3,2.0,64,,Condo
477,"Prey Sa, Dangkao, Phnom Penh","$76,877",2,3.0,56,,House
478,"Chrang Chamres 2, Russey Keo, Phnom Penh","$380,000",4,6.0,175,,House
479,"Ampil Ta Pok, Ou Reang Ov, Tboung Khmum","$49,900",2,1.0,67,,House
480,"Phsar Chas, Daun Penh, Phnom Penh","$85,000",1,1.0,68,,House
481,"Veal Sbov, Chbar Ampov, Phnom Penh","$245,000",4,5.0,200,,Twin
482,"Svay Rieng, Svay Rieng, Svay Rieng",$726/m²,,,,551.0,Land
483,"Makprang, Tuek Chhou, Kampot",$12/m²,,,,10486.0,Land
484,"Srae Chea Khang Tboung, Dang Tong, Kampot",$4/m²,,,,139534.0,Land
485,De Castle Diamond Condominium,"$337,200",4,4.0,281,,Condo
486,De Castle Diamond Condominium,"$365,300",4,4.0,281,,Condo
487,De Castle Diamond Condominium,"$3,552,450",,,3230,,Condo
488,De Castle Diamond Condominium,"$365,300",4,4.0,281,,Condo
489,De Castle Diamond Condominium,"$337,200",4,4.0,281,,Condo
490,De Castle Diamond Condominium,"$320,600",3,3.0,229,,Condo
491,De Castle Diamond Condominium,"$274,800",3,3.0,229,,Condo
492,De Castle Diamond Condominium,"$351,400",3,3.0,251,,Condo
493,De Castle Diamond Condominium,"$326,300",3,3.0,251,,Condo
494,De Castle Diamond Condominium,"$326,300",3,3.0,251,,Condo
495,De Castle Diamond Condominium,"$351,400",3,3.0,251,,Condo
496,De Castle Diamond Condominium,"$210,000",2,2.0,150,,Condo
497,De Castle Diamond Condominium,"$210,000",2,2.0,150,,Condo
498,De Castle Diamond Condominium,"$160,300",1,1.0,114,,Condo
499,De Castle Diamond Condominium,"$160,300",1,1.0,114,,Condo
500,De Castle Diamond Condominium,"$160,300",1,1.0,114,,Condo
501,"Kaoh Rung, Sihanoukville, Sihanoukville",$850/m²,,,8361,8361.0,Land
502,"Boeung Tumpun, Meanchey, Phnom Penh","$140,000",4,5.0,,,House
503,"Boeung Kak 1, Toul Kork, Phnom Penh","$95,000",2,,41,,Condo
504,"Chey Chumneah, Daun Penh, Phnom Penh","$800,000",2,5.0,66,,House
505,"Chakto Mukh, Daun Penh, Phnom Penh","$10,000/m²",,,15882,,Land
506,"Preaek Aeng, Chbar Ampov, Phnom Penh","$290,000",4,4.0,413,,Villa
507,"Kouk Roka, Prek Pnov, Phnom Penh","$180,000",4,5.0,,,House
508,"Dei Edth, Kien Svay, Kandal","$1,300,000",,,,,House
509,"Nirouth, Chbar Ampov, Phnom Penh","$230,000",4,5.0,203,,House
510,"Kamboul, Por Sen Chey, Phnom Penh","$55,000",,,49,,House
511,"Veal Vong, 7 Makara, Phnom Penh","$160,000",,,,,Apartment
512,"Toul Kork, Phnom Penh","$980,000",,,144,,Villa
513,"Svay Chrum, Khsach Kandal, Kandal","$55,000",,,80,,Villa
514,"Tuek Thla, Sen Sok, Phnom Penh","$1,500,000",,,741,,House
515,"Boeung Kak 1, Toul Kork, Phnom Penh","$175,000",,,48,,Shophouse
516,"Preaek Pra, Chbar Ampov, Phnom Penh","$750,000",,,187,,House
517,"Toul Kork, Phnom Penh","$600,000",,,108,,Villa
518,"Siem Reap, Siem Reap","$65,000",,,59,,House
519,"Dangkao, Phnom Penh","$105,000",,,50,,House
520,"Nirouth, Chbar Ampov, Phnom Penh","$148,000",,,39,,Link
521,"Chrang Chamres 2, Russey Keo, Phnom Penh","$193,000",,,69,,Link
522,"Chaom Chau, Por Sen Chey, Phnom Penh","$69,000",,,,,Link
523,"Preaek Aeng, Chbar Ampov, Phnom Penh","$195,000",,,264,,Villa
524," Sla Kram, Siem Reap, Siem Reap","$320,000",6,8.0,,262.0,House
525,"Sen Sok, Phnom Penh","$355,000",,,79,,Twin
526,"Preaek Aeng, Chbar Ampov, Phnom Penh","$145,000",,,62,,House
527,"Kouk Khleang, Sen Sok, Phnom Penh","$49,000",,,50,,House
528,"Chaom Chau, Por Sen Chey, Phnom Penh","$30,000",,,,,House
529,"Por Sen Chey, Phnom Penh","$168,000",,,66,,Shophouse
530,"Chreav, Siem Reap, Siem Reap","$330,000",,,300,,Villa
531,"Tuek Thla, Sen Sok, Phnom Penh","$110,000",,,50,,Condo
532,"Por Sen Chey, Phnom Penh","$150,000",,,63,,Shophouse
533,"Nirouth, Chbar Ampov, Phnom Penh","$155,000",,,,,Shophouse
534,"Nirouth, Chbar Ampov, Phnom Penh","$130,000",,,42,,Shophouse
535,"Veal Vong, 7 Makara, Phnom Penh","$125,000",1,1.0,47,,Flat
536,"Kandal Stueng, Kandal","$45,000",,,2192,,Land
537,"Nirouth, Chbar Ampov, Phnom Penh","$3,900,000",,,346,,Villa
538,"Sla Kram, Siem Reap, Siem Reap","$250,000",,,384,,House
539,"Dangkao, Phnom Penh","$86,000",,,64,,House
540,"Dangkao, Phnom Penh","$80,000",,,64,,House
541,"Dangkao, Phnom Penh","$235,000",,,64,,House
542,"Samraong Kraom, Por Sen Chey, Phnom Penh","$97,880",,,200,,House
543,"Lvea Aem, Kandal","$380,000",,,1500,,Land
544,"Lvea Aem, Kandal","$280,000",,,1400,,Land
545,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$240,000",,,147,,Twin
546,"Krang Thnong, Sen Sok, Phnom Penh","$98,000",,,49,,Shophouse
547,"Sala Kamraeuk, Siem Reap, Siem Reap","$76,000",,,280,,House
548,"Por Sen Chey, Phnom Penh","$43,800",,,75,,House
549,"Chrang Chamres I, Russey Keo, Phnom Penh","$179,000",,,,,House
550,"Ta Khmao, Ta Khmau, Kandal","$750,000",,,622,,Villa
551,"Phnom Penh, Phnom Penh","$31,980",,,43,,House
552,"Prey Sa, Dangkao, Phnom Penh","$70,000",,,,,House
553,"Svay Por, Battambang, Battambang","$180,000",,,99,,House
554,"Khnar Pou, Sout Nikom, Siem Reap","$975,000",,,13,,Land
555,"Ballangk, Prasat Bakong, Siem Reap","$5,300,000",,,53,,Land
556,"Peak Sneng, Angkor Thum, Siem Reap","$250,000",,,25,,Land
557,"Chrang Chamres 2, Russey Keo, Phnom Penh","$299,999",,,72,,Twin
558,"Toul Tum Poung 1, Chamkarmon, Phnom Penh","$74,000",,,49,,Condo
559,"Toul Kork, Phnom Penh","$54,000",,,,,Condo
560,"Ta Khmao, Ta Khmau, Kandal","$108,000",,,180,,House
561,"S'ang, Kandal","$90,000",,,200,,House
562,"Sala Kamraeuk, Siem Reap, Siem Reap","$260,000",,,96,,House
563,"Por Sen Chey, Phnom Penh","$59,500",,,49,,House
564,"Ta Khmao, Ta Khmau, Kandal","$440,000",,,96,,Villa
565,"Preaek Thmei, Chbar Ampov, Phnom Penh","$46,000",,,49,,House
566,"Russey Keo, Phnom Penh","$75,500",,,52,,House
567,"Por Sen Chey, Phnom Penh","$99,000",,,,,House
568,"Toul Kork, Phnom Penh","$1,900,000",,,320,,Villa
569,"Chaom Chau, Por Sen Chey, Phnom Penh","$45,000",,,32,,House
570,"Kampot, Kampot","$6,500",,,629,,Land
571,"Nirouth, Chbar Ampov, Phnom Penh","$1,399,000",,,144,,Villa
572,"Olympic, Chamkarmon, Phnom Penh","$300,000",3,,127,,Condo
573,"Boeung Tumpun, Meanchey, Phnom Penh","$63,000",1,1.0,47,,Condo
574,"Khmuonh, Sen Sok, Phnom Penh","$600,000",,,300,,Villa
575,"S'ang, Kandal","$33,000",,,33,,Shophouse
576,"Chbar Ampov, Phnom Penh","$188,000",,,100,,Villa
577,"Boeung Tumpun, Meanchey, Phnom Penh","$53,000",1,1.0,47,,Condo
578,"Dangkao, Phnom Penh","$195,000",,,64,,House
579,"Toul Kork, Phnom Penh","$350,000",,,70,,Shophouse
580,"Dangkao, Phnom Penh","$145,000",,,50,,Shophouse
581,"Odongk, Kampong Speu","$55,000",,,88,,Villa
582,"Chreav, Siem Reap, Siem Reap","$38,500",,,,,House
583,"Chak Angrae Kraom, Meanchey, Phnom Penh","$265,000",,,54,,House
584,"Siem Reap, Siem Reap","$70,000",,,56,,House
585,"Chaom Chau, Por Sen Chey, Phnom Penh","$67,000",,,,,Twin
586,Urban Village Phase 1,"$120,000",2,1.0,53,,Condo
587,"Chroy Changvar, Phnom Penh","$150,000",,,80,,Villa
588,"Krang Thnong, Sen Sok, Phnom Penh","$230,000",,,66,,Shophouse
589,"Preaek Pnov, Prek Pnov, Phnom Penh","$50,999",,,48,,House
590,"Krang Thnong, Sen Sok, Phnom Penh","$56,880",,,50,,House
591,"Sihanoukville, Sihanoukville","$200,000",,,154,,Villa
592,"Prek Ho, Ta Khmau, Kandal","$600,000",,,324,,Villa
593,"Kampot, Kampot","$800,000",,,800,,Land
594,"Chak Angrae Kraom, Meanchey, Phnom Penh","$160,000",,,66,,House
595,"Dangkao, Phnom Penh","$215,000",,,104,,Villa
596,"Kampong Kraeng, Tuek Chhou, Kampot","$500,000",,,1115,,Land
597,"Meanchey, Phnom Penh","$199,000",,,60,,House
598,"Russey Keo, Phnom Penh","$210,000",,,72,,Villa
599,"Kaoh Thum, Kandal","$9,500",,,900,,Land
600,"Sangkat Muoy, Sihanoukville, Sihanoukville","$650,000",,,307,,Villa
601,"Tumnob Tuek, Chamkarmon, Phnom Penh","$590,000",,,117,,Shophouse
602,"Chaom Chau, Por Sen Chey, Phnom Penh","$92,000",,,42,,House
603,"Boeung Tumpun, Meanchey, Phnom Penh","$65,000",,,48,,House
604,"BKK 1, Chamkarmon, Phnom Penh","$175,000",,,50,,Studio
605,"Dangkao, Phnom Penh","$52,000",,,54,,House
606,"Sla Kram, Siem Reap, Siem Reap","$80,000",,,108,,House
607,"Sla Kram, Siem Reap, Siem Reap","$135,000",,,78,,Shophouse
608,"Ta Khmao, Ta Khmau, Kandal","$350,000",,,1380,,Land
609,"Chreav, Siem Reap, Siem Reap","$29,500",,,61,,House
610,"Chak Angrae Leu, Meanchey, Phnom Penh","$145,000",,,37,,House
611,"Kamboul, Por Sen Chey, Phnom Penh","$45,000",,,69,,House
612,"Tuek Thla, Sen Sok, Phnom Penh","$50,000",,,60,,Condo
613,"Por Sen Chey, Phnom Penh","$180,000",,,64,,Shophouse
614,"Chaom Chau, Por Sen Chey, Phnom Penh","$48,000",,,55,,House
615,"Tuol Sangke, Russey Keo, Phnom Penh","$160,000",,,360,,Land
616,"Tuek L'ak 3, Toul Kork, Phnom Penh","$830,000",,,76,,House
617,"Tuol Sangke, Russey Keo, Phnom Penh","$188,000",,,66,,House
618,"Dangkao, Phnom Penh","$750,000",,,336,,Shophouse
619,"Kamboul, Por Sen Chey, Phnom Penh","$75,000",,,64,,House
620,"Sen Sok, Phnom Penh","$67,000",,,57,,Condo
621,"Dangkao, Phnom Penh","$65,000",,,49,,House
622,"Boeng Kak 2, Toul Kork, Phnom Penh","$56,000",1,1.0,28,,Condo
623,"Siem Reap, Siem Reap","$75,000",,,48,,House
624,"Prey Nheat, Kong Pisei, Kampong Speu","$270,000",,,104,,Villa
625,"Dangkao, Phnom Penh","$58,900",,,,,House
626,"Poipet, Poipet, Banteay Meanchey","$160,000",,,84,,Villa
627,"Tuol Sangke, Russey Keo, Phnom Penh","$105,333",,,66,,House
628,"Preaek Lieb, Chroy Changvar, Phnom Penh","$148,000",,,48,,Villa
629,"Sla Kram, Siem Reap, Siem Reap","$350,000",,,,,Apartment
630,"Dangkao, Phnom Penh","$170,000",,,395,,Land
631,"Chaom Chau, Por Sen Chey, Phnom Penh","$129,000",,,56,,House
632,"Stueng Mean chey, Meanchey, Phnom Penh","$36,800",,,,,House
633,"Phleung Chheh Roteh, Por Sen Chey, Phnom Penh","$100,000",,,,,House
634,"Dangkao, Phnom Penh","$55,555",,,66,,House
635,"Kamboul, Por Sen Chey, Phnom Penh","$42,500",,,50,,House
636,"Toul Kork, Phnom Penh","$1,700,000",,,160,,Villa
637,"Chrang Chamres 2, Russey Keo, Phnom Penh","$320,000",,,78,,Villa
638,"Meanchey, Phnom Penh","$59,000",,,68,,House
639,"Tuek L'ak 1, Toul Kork, Phnom Penh","$450,000",,,88,,House
640,"Kouk Roka, Prek Pnov, Phnom Penh","$400,000",,,185,,Shophouse
641,"Nirouth, Chbar Ampov, Phnom Penh","$200,000",,,270,,House
642,"Krang Thnong, Sen Sok, Phnom Penh","$68,000",,,48,,House
643,"Tuek Chhou, Kampot","$550,000",,,5,,Land
644,"Lvea Aem, Kandal","$95,000",,,636,,Land
645,"Tuek Chhou, Kampot","$28,000",,,300,,Land
646,"Krang Thnong, Sen Sok, Phnom Penh","$390,000",,,600,,Land
647,"Cheung Aek, Dangkao, Phnom Penh","$79,000",,,200,,Land
648,"Stueng Mean chey, Meanchey, Phnom Penh","$210,000",,,240,,House
649,"Sangkat Pir, Sihanoukville, Sihanoukville","$650,000",,,307,,Villa
650,"Tuol Sangke, Russey Keo, Phnom Penh","$165,000",,,198,,House
651,"Sla Kram, Siem Reap, Siem Reap","$64,000",,,60,,House
652,"Chaom Chau, Por Sen Chey, Phnom Penh","$60,000",,,151,,Land
653,"Kronhoung Saen Chey, Snuol, Kratie","$20,000",,,2,,Land
654,"Nirouth, Chbar Ampov, Phnom Penh","$140,000",,,42,,Shophouse
655,"Kakab 1, Por Sen Chey, Phnom Penh","$325,000",,,99,,Shophouse
656,"Ou Baek K'am, Sen Sok, Phnom Penh","$205,000",,,56,,House
657,"Toul Kork, Phnom Penh","$65,000",,,45,,Flat
658,"Preaek Kampues, Dangkao, Phnom Penh","$150,000",,,600,,Land
659,"Sangkat Bei, Sihanoukville, Sihanoukville","$320,000",,,200,,House
660,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$270,000",,,72,,Twin
661,"Por Sen Chey, Phnom Penh","$55,000",,,33,,House
662,"Otdam Soriya, Tram Kak, Takeo","$75,000",,,2079,,Land
663,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$315,000",,,72,,Twin
664,"Svay Dankum, Siem Reap, Siem Reap","$135,000",,,80,,Shophouse
665,"Nirouth, Chbar Ampov, Phnom Penh","$1,380,000",,,144,,Villa
666,"Snaor, Por Sen Chey, Phnom Penh","$68,000",,,67,,Shophouse
667,"Pong Tuek, Dangkao, Phnom Penh","$69,995",,,63,,House
668,"Prey Sa, Dangkao, Phnom Penh","$135,000",,,66,,House
669,"Boeung Tumpun, Meanchey, Phnom Penh","$155,000",,,120,,House
670,"Ponhea Lueu, Kandal","$48,000",,,1253,,Land
671,"Toul Kork, Phnom Penh","$179,999",,,75,,Condo
672,"Phum Thum, Kien Svay, Kandal","$39,900",,,,,House
673,"Dangkao, Phnom Penh","$47,500",,,50,,House
674,"Dangkao, Phnom Penh","$75,000",,,67,,House
675,"Nirouth, Chbar Ampov, Phnom Penh","$850,000",,,54,,House
676,"Siem Reap, Siem Reap","$99,000",,,273,,House
677,"Por Sen Chey, Phnom Penh","$120,000",,,64,,House
678,"Sangkat Buon, Sihanoukville, Sihanoukville","$185,000",,,63,,Shophouse
679,"Krang Thnong, Sen Sok, Phnom Penh","$68,000",,,,,House
680,"Por Sen Chey, Phnom Penh","$280,000",,,72,,Twin
681,"Nirouth, Chbar Ampov, Phnom Penh","$398,000",,,90,,Twin
682,"Chrang Chamres 2, Russey Keo, Phnom Penh","$198,000",,,68,,House
683,"Sen Sok, Phnom Penh","$95,000",,,75,,House
684,"Preaek Lieb, Chroy Changvar, Phnom Penh","$299,000",,,72,,Twin
685,"Tuek Chhou, Kampot","$123,888",,,,,House
686,"Chreav, Siem Reap, Siem Reap","$120,000",,,85,,House
687,"Chrang Chamres 2, Russey Keo, Phnom Penh","$755,000",,,169,,Villa
688,"Stueng Mean chey, Meanchey, Phnom Penh","$155,000",,,56,,Shophouse
689,"Boeung Tumpun, Meanchey, Phnom Penh","$850,000",,,100,,Villa
690,"Tuol Sangke, Russey Keo, Phnom Penh","$270,000",,,67,,House
691,"Nirouth, Chbar Ampov, Phnom Penh","$400,000",,,90,,Twin
692,"Svay Dankum, Siem Reap, Siem Reap","$265,000",,,192,,House
693,"Krang Thnong, Sen Sok, Phnom Penh","$245,000",,,73,,Twin
694,"Ta Khmau, Kandal","$375,000",,,128,,Villa
695,"Kouk Khleang, Sen Sok, Phnom Penh","$198,000",,,82,,House
696,"Chaom Chau, Por Sen Chey, Phnom Penh","$49,666",,,,,House
697,"Dangkao, Phnom Penh","$278,000",,,72,,Twin
698,"Tuek Thla, Sen Sok, Phnom Penh","$329,000",,,66,,Villa
